Marka,Fiyat,İşlemci Tipi,SSD Kapasitesi,Ram (Sistem Belleği),Ekran Kartı,Kapasite,İşletim Sistemi,Ekran Kartı Bellek Tipi,Ekran Kartı Tipi,Garanti Tipi,Ram (Sistem Belleği) Tipi,İşlemci Çekirdek Sayısı,İşlemci Nesli,İşlemci Modeli,Çözünürlük,Power Supply,Kullanım Amacı,Ekran Kartı Hafızası,Temel İşlemci Hızı (GHz),Bağlantılar,Cihaz Ağırlığı,Ekran Boyutu,İşlemci Frekansı,Ekran Yenileme Hızı,Panel Tipi,Menşei,Arttırılabilir Azami Bellek
ROGAME,19439.0,AMD Ryzen 5,240 GB,8 GB,AMD Radeon RX 550,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR4,6,5. Nesil,Ryzen 5 5600,1920 x 1080,500 W ve üstü,Oyun,4 GB ve altı,4.4,HDMI,4 kg ve üzeri,24 inç,3.00 GHz üstü,,,,32 GB
Zeiron,11149.0,Intel Core i5,,,Nvidia GeForce GT 730,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,,4,3. Nesil,İ5-3470,1920 x 1080,350 - 500 W,Ev - Okul,,3.2,HDMI,2 - 4 kg,"24"" / 61 Ekran",3.00 GHz üstü,,IPS,,16 GB
Zeiron,9199.0,Intel Core i5,,,AMD Radeon RX 550,500 GB,Free Dos (İşletim Sistemi Yok),DDR5,Harici,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,2 kg ve altı,,3.00 GHz üstü,,,,16 GB
Zeiron,8749.0,Intel Core i7,,,Nvidia GeForce GT 730,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DD2,4,3. Nesil,3700U,,350 - 500 W,Oyun,4 GB ve altı,,HDMI,2 kg ve altı,,3.00 GHz üstü,,,,16 GB
LENOVO,108707.03,Intel Core i7,1 TB,32 GB,Dahili Ekran Kartı,Yok,Windows,GDDR6,,Resmi Distribütör Garantili,,,,12700,,,,,,,,,,,,,
XASER,7366.86,Intel Core i5,,,AMD Radeon RX 550,256 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,,4,2. Nesil,2400,,,,,,,Belirtilmemiş,,,,,,
TURBOX,9370.0,Intel Core i5,1 TB,16 GB,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3470,1920 x 1080,,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,8691.0,Intel Core i7,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,,Resmi Distribütör Garantili,DDR3,,2. Nesil,2600,,,,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
Gigabyte,43001.54,AMD Ryzen 5,,,Nvidia GeForce RTX 4060Ti,1 TB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,İthalatçı Garantili,,6,7. Nesil,7500U,,500 W ve üstü,Oyun,,,,Belirtilmemiş,,,,,,
EFS TEKNOLOJİ,5899.0,Intel Core i3,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,İthalatçı Garantili,,2,3. Nesil,3220,,,,8 GB,,,Belirtilmemiş,,,,,,8 GB
LENOVO,26999.95,Intel Core i5,512 GB,16 GB,Intel UHD Graphics 730,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Lenovo Türkiye Garantili,DDR4,6,12. Nesil,12400,,,,,,,Belirtilmemiş,23.8 inç,,,,,
Zeiron,7699.0,Intel Core i5,,,Dahili Ekran Kartı,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,DDR3,4,1. Nesil,İ5-650,1366 x 768,250 - 350 W,Ev - Okul,Paylaşımlı,3.2,HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,TN,,8 GB
IZOLY,4588.0,Intel Core i5,512 GB,16 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Dahili,İzoly Türkiye Garantisi,DDR3,4,3. Nesil,3470,,350 - 500 W,Ofis - İş,,3.1,VGA - HDMI,4 kg ve üzeri,,2.50 GHz - 3.00 GHz,,,,16 GB
MSI,60928.15,Intel Core i5,1 TB,32 GB,Nvidia GeForce RTX 4070,1 TB,Free Dos (İşletim Sistemi Yok),DDR5,Harici,İthalatçı Garantili,DDR5,12+,12. Nesil,12400F,,500 W ve üstü,Oyun,,,,Belirtilmemiş,,3.00 GHz üstü,,,,
HP,22299.0,AMD,512 GB,8 GB,AMD CPU Entegre Grafik,512 GB,Free Dos (İşletim Sistemi Yok),DDR4,Dahili,Resmi Distribütör Garantili,DDR4,1,7. Nesil,7500,,,,,,,,,,,,,
OEM,119999.99,Intel Xeon,1 TB,128 GB,Dahili Ekran Kartı,1 TB,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Dahili,İthalatçı Garantili,DDR4,24,Belirtilmemiş,Xeon Silver 4214,,,Tasarım,,,,Belirtilmemiş,,,,,,128 GB
Apple,59399.01,,,,,Yok,,,,Apple TÃ¼rkiye Garantili,,,,,,,,,,,,,,,,,
Zeiron,7499.0,Intel Core i5,,,Nvidia Geforce GT 740,Yok,Windows,GDDR5,Harici,Zeiron Türkiye Garantili,DDR3,4,3. Nesil,İ5-3470,,350 - 500 W,Oyun,4 GB ve altı,3.2,,2 - 4 kg,,3.00 GHz üstü,,,,16 GB
RAMTECH,11999.0,Intel Core i5,240 GB,16 GB,AMD Radeon R5 230,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400F,1920 x 1080,180 - 250 W,Ofis - İş,,2.5,HDMI,,,2.50 GHz - 3.00 GHz,,TN,TR,64 GB
TURBOX,15648.0,Intel Core i5,512 GB,8 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,10,14. Nesil,1000M,,500 W ve üstü,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,,3.00 GHz üstü,,,,16 GB
IZOLY,15199.0,Intel Core i5,512 GB,16 GB,AMD Radeon RX 580,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,İzoly Türkiye Garantisi,DDR3,4,4. Nesil,4440,1920 x 1080,500 W ve üstü,Oyun,8 GB,3.1,HDMI - DP,4 kg ve üzeri,24 inç,3.00 GHz üstü,,VA,,16 GB
LENOVO,22499.0,Intel Core i5,,,Dahili Ekran Kartı,512 GB,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Harici,Asus Türkiye Garantili,,8,10. Nesil,10510U,,,,,,,,,,,,,
EFS TEKNOLOJİ,5999.0,Intel Core i5,256 GB,8 GB,Dahili Ekran Kartı,256 GB,Free Dos (İşletim Sistemi Yok),Belirtilmemiş,Harici,İthalatçı Garantili,DDR3,4,2. Nesil,2400,,,Ofis - İş,8 GB,,,Belirtilmemiş,"21,5 inç",,60 Hz,,,8 GB
TURBOX,10029.0,Intel Core i5,,,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,2. Nesil,2400,1920 x 1080,,,Paylaşımlı,,HDMI,2 - 4 kg,"21,5 inç",2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,11294.0,Intel Core i7,256 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,4,6. Nesil,1000M,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,23.8 inç,2.50 GHz - 3.00 GHz,,,,16 GB
XASER,17614.5,Intel Core i5,512 GB,16 GB,Nvidia Geforce GT 710,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Harici,Resmi Distribütör Garantili,DDR5,10,14. Nesil,13700F,,,,,,,,,,,,,
TURBOX,7128.0,Intel Core i5,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,,Resmi Distribütör Garantili,DDR3,,2. Nesil,2400,,,,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
XASER,5889.56,Intel Core i3,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,,2,2. Nesil,2100,,,Ofis - İş,,,,Belirtilmemiş,"21,5 inç",,,,,
XASER,14780.81,Intel Core i7,512 GB,16 GB,AMD Radeon RX 550,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4770,,,,,,,,,,,,,
TURBOX,5702.0,Intel Core i7,256 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,2. Nesil,2600,1920 x 1080,180 - 250 W,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,8642.0,Intel Core i5,512 GB,16 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3470,1920 x 1080,180 - 250 W,Ofis - İş,Paylaşımlı,3.2,HDMI,2 - 4 kg,23.8 inç,2.50 GHz - 3.00 GHz,,VA,,16 GB
MSI,55471.19,Intel Core i7,1 TB,16 GB,Nvidia GeForce RTX 4060Ti,1 TB,Free Dos (İşletim Sistemi Yok),DDR5,Harici,İthalatçı Garantili,DDR5,12+,14. Nesil,14700KF,,500 W ve üstü,Oyun,16 GB,2.1,,Belirtilmemiş,,3.00 GHz üstü,,,,
XASER,7146.74,Intel Core i5,,,Intel HD Graphics,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,,4,3. Nesil,300U,,,,,,,Belirtilmemiş,,,,,,
TURBOX,10751.0,Intel Core i7,,,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4770,,,,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,19104.0,Intel Core i5,1 TB,16 GB,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,10,14. Nesil,1000M,1920 x 1080,500 W ve üstü,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,8464.0,Intel Core i5,1 TB,8 GB,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,2. Nesil,2400,1920 x 1080,,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,8499.0,Intel Core i5,512 GB,8 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,9. Nesil,9400,,,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,11281.0,Intel Core i5,,,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4440,1920 x 1080,,,Paylaşımlı,,HDMI,2 - 4 kg,"21,5 inç",2.50 GHz - 3.00 GHz,,,,16 GB
Gigabyte,91372.28,AMD Ryzen 7,1 TB,32 GB,Nvidia GeForce RTX 4070Ti,1 TB,Free Dos (İşletim Sistemi Yok),GDDR6,Harici,İthalatçı Garantili,DDR5,16,7. Nesil,7800X,,500 W ve üstü,Oyun,12 GB,,,Belirtilmemiş,,,,,,
TURBOX,26999.0,Intel Core i7,1 TB,16 GB,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,20,14. Nesil,1000M,1920 x 1080,500 W ve üstü,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,8074.0,Intel Core i5,,,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,2. Nesil,2400,1920 x 1080,,,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
HP,34315.83,Intel Core i3,4 TB,48 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
TURBOX,10552.0,Intel Core i5,512 GB,16 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4440,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,,USB,4 kg ve üzeri,23.8 inç,2.50 GHz - 3.00 GHz,75 Hz,VA,,16 GB
Zeiron,6899.0,Intel Core i5,,,AMD Radeon RX 550,500 GB,Windows,DDR5,Harici,İthalatçı Garantili,DD2,4,3. Nesil,,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3 - 4,HDMI,2 - 4 kg,22 - 24 inç,3.00 GHz üstü,,TN,,16 GB
TURBOX,9896.0,Intel Core i7,,,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,2. Nesil,2600,1920 x 1080,,,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
ASUS,28999.99,Intel Core i5,256 GB,8 GB,Intel UHD Graphics 770,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,14,13. Nesil,13500,,,,,,,,27 inç,,,,,
TURBOX,9384.0,Intel Core i7,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,2. Nesil,2600,1920 x 1080,,,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
OXpower,29000.0,Intel Core i7,,,Nvidia GeForce RTX 4090Ti,5 TB,Windows,Dahili,Harici,ACER Türkiye Garantili,,10,5. Nesil,4800HS,,,,,,,Belirtilmemiş,,,,,,
RAMTECH,8760.0,Intel Core i3,480 GB,32 GB,Dahili Ekran Kartı,64 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,4,9. Nesil,9100T,,250 - 350 W,Ofis - İş,Paylaşımlı,3.1,VGA - HDMI,2 - 4 kg,,3.00 GHz üstü,,,,64 GB
Apple,54999.0,Apple M1,,,Dahili Ekran Kartı,Yok,Mac Os,Belirtilmemiş,Dahili,Apple Türkiye Garantili,,8,5. Nesil,Belirtilmemiş,,,,,,Bluetooth,Belirtilmemiş,,,,,,
Gamepage,11299.0,Intel Core i5,,,Nvidia GeForce GT 730,1 TB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,,4,3. Nesil,İ5-3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,Wi-Fi,2 - 4 kg,"24"" / 61 Ekran",3.00 GHz üstü,,IPS,,16 GB
XASER,6440.41,Intel Core i5,,,Dahili Ekran Kartı,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,,4,3. Nesil,3470,,180 - 250 W,Ev - Okul,Paylaşımlı,,,Belirtilmemiş,"21,5 inç",3.00 GHz üstü,,,,
XASER,10794.85,Intel Core i5,256 GB,16 GB,Intel HD Graphics,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,6. Nesil,6006U,,,,,,,,,,,,,
ARTITEKNİKPC,3899.0,Intel Core i5,240 GB,16 GB,Dahili Ekran Kartı,Yok,Ubuntu,DDR3,Dahili,İthalatçı Garantili,DDR3,4,3. Nesil,3240,,250 - 350 W,Ofis - İş,,,USB,Belirtilmemiş,,2.50 GHz - 3.00 GHz,,,TR,16 GB
XASER,19547.07,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DDR4,10,13. Nesil,13400F,,,,,,,,,,,,,
TURBOX,16642.0,Intel Core i5,512 GB,32 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,2.5,HDMI,2 - 4 kg,22 - 24 inç,3.00 GHz üstü,,,,16 GB
TURBOX,8472.0,Intel Core i5,256 GB,8 GB,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,9. Nesil,9400,1920 x 1080,180 - 250 W,Ofis - İş,,2.9,USB,2 kg ve altı,,2.50 GHz - 3.00 GHz,,,,32 GB
TOPLAMA,29999.0,Intel Core i5,512 GB,16 GB,Nvidia GeForce RTX3060,512 GB,Windows,DDR5,Harici,ACER Türkiye Garantili,DDR4,8,12. Nesil,12400F,,,,,,,,,,,,,
Canar,5750.0,Intel Pentium,,,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,İthalatçı Garantili,,4,Belirtilmemiş,Belirtilmemiş,1920 x 1080,,,,,USB,2 - 4 kg,,,,,,4 GB
TURBOX,15526.0,Intel Core i5,1 TB,32 GB,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,9. Nesil,9400,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,,USB,4 kg ve üzeri,23.8 inç,2.50 GHz - 3.00 GHz,75 Hz,VA,,32 GB
Zeiron,10999.0,Intel Core i7,,,AMD Radeon RX 550,500 GB,Free Dos (İşletim Sistemi Yok),DDR5,Harici,Resmi Distribütör Garantili,DD2,4,3. Nesil,3700U,1920 x 1080,350 - 500 W,Ev - Okul,4 GB ve altı,,HDMI,2 kg ve altı,,3.00 GHz üstü,,,,16 GB
TURBOX,22949.0,Intel Core i5,512 GB,32 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,2.5,USB,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,IPS,TR,
TURBOX,11063.0,Intel Core i7,,,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3770,1920 x 1080,,,Paylaşımlı,,HDMI,2 - 4 kg,22 - 24 inç,2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,6099.0,Intel Core i7,,,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,,Resmi Distribütör Garantili,DDR3,,3. Nesil,3770,,,,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
LENOVO,25999.0,Intel Core i5,512 GB,16 GB,Intel UHD Graphics 730,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,2.5,VGA - HDMI,,27 inç,2.50 GHz - 3.00 GHz,75 Hz,IPS,,64 GB
TURBOX,7897.0,Intel Core i7,,,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4770,,,,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
XASER,6790.65,Intel Core i5,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,,4,6. Nesil,6400,,250 - 350 W,,,,,Belirtilmemiş,,,,,,
Güneysu Gaming,73948.0,AMD Ryzen 9,1 TB,64 GB,Nvidia GeForce RTX 4070,1 TB,Free Dos (İşletim Sistemi Yok),GDDR6X,Harici,Resmi Distribütör Garantili,DDR5,12+,Belirtilmemiş,9900,,500 W ve üstü,Oyun,12 GB,4.4,HDMI - DP,,,3.00 GHz üstü,,,,128 GB
Gamepage,7199.0,Intel Core i5,,,Intel HD Graphics,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,,4,1. Nesil,İ5-3470,1366 x 768,250 - 350 W,Ofis - İş,,3.2,HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,,TN,,8 GB
XASER,12934.78,Intel Core i5,1 TB,16 GB,AMD Radeon RX 550,1 TB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,4. Nesil,3470,,,,,,,,,,,,,
TURBOX,10518.0,Intel Core i5,,,Intel HD Graphics,1 TB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3470,1920 x 1080,,,Paylaşımlı,,HDMI,2 - 4 kg,"21,5 inç",2.50 GHz - 3.00 GHz,,,,16 GB
DMC,6699.0,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,Yok,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,860,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,2.8,HDMI,Belirtilmemiş,,2.50 GHz - 3.00 GHz,,,,
CASPER,12000.0,Intel Core i3,250 GB,8 GB,Dahili Ekran Kartı,250 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Casper Türkiye Garantili,DDR4,4,10. Nesil,10100,,180 - 250 W,Ev - Okul,,,USB,4 kg ve üzeri,,,,,,16 GB
TURBOX,7291.0,Intel Core i5,256 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,4,6. Nesil,6400,1920 x 1080,180 - 250 W,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
UCARTECH,4200.0,Intel Core i5,256 GB,8 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İthalatçı Garantili,DDR3,4,3. Nesil,İ5-3470,,250 - 350 W,,Paylaşımlı,,VGA - HDMI,2 - 4 kg,,,,,,
XASER,5997.14,Intel Core i7,256 GB,16 GB,Intel HD Graphics,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3770,,,,,,,,,,,,,
TURBOX,9445.0,Intel Core i5,,,AMD Radeon R7 240,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,,4,2. Nesil,2400,1280 x 800,250 - 350 W,Oyun,4 GB ve altı,3.1,HDMI,Belirtilmemiş,22 - 24 inç,3.00 GHz üstü,,,,8 GB
XASER,7372.79,Intel Core i7,,,Intel HD Graphics,128 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,,4,2. Nesil,2600,,,Ofis - İş,,,,Belirtilmemiş,"21,5 inç",,,,,
Zeiron,8249.0,Intel Core i5,512 GB,8 GB,Intel HD Graphics,512 GB,Windows,Dahili,Dahili,Zeiron Türkiye Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,3.2,HDMI,4 kg ve üzeri,"21,5 inç",3.00 GHz üstü,75 Hz,TN,,16 GB
Zeiron,7953.0,Intel Core i5,,,AMD Radeon Graphics,500 GB,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,1366 x 768,250 - 350 W,Tasarım,4 GB ve altı,3.2,VGA,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,IPS,,16 GB
TURBOX,8495.0,Intel Core i5,256 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4440,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,,HDMI,2 - 4 kg,"21,5 inç",2.50 GHz - 3.00 GHz,,,,16 GB
TURBOX,15368.0,Intel Core i5,512 GB,16 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,10,14. Nesil,1000M,,500 W ve üstü,Ofis - İş,Paylaşımlı,2.5,HDMI,2 - 4 kg,,3.00 GHz üstü,,,,16 GB
IZOLY,8304.68,Intel Core i5,256 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İzoly Türkiye Garantisi,DDR3,4,4. Nesil,4440,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,3.1,VGA - HDMI,2 - 4 kg,24 inç,3.00 GHz üstü,75 Hz,VA,,32 GB
Technopc,14429.13,Intel Xeon,SSD Yok,4 GB,Nvidia GeForce RTX 4090Ti,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İthalatçı Garantili,DDR4,8,Belirtilmemiş,4800HS,,,,,,,,,,,,TR,
XASER,13357.44,Intel Core i5,512 GB,16 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),DDR3,Harici,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400F,,,,,,,Belirtilmemiş,,,,,,
DAGMOR,32400.0,Intel Core i7,SSD Yok,32 GB,Dahili Ekran Kartı,500 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İthalatçı Garantili,DDR5,4,14. Nesil,14700K,1920 x 1080,,,,,USB,2 - 4 kg,,,75 Hz,,HR,
TURBOX,11326.0,Intel Core i3,512 GB,8 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,4,7. Nesil,7400,1920 x 1080,180 - 250 W,Ofis - İş,Paylaşımlı,,USB,Belirtilmemiş,22 - 24 inç,,,,,32 GB
WARBOX,11950.0,Intel Core i5,,,AMD Radeon R7 240,500 GB,Windows,DDR5,Harici,Resmi Distribütör Garantili,DDR3,8,3. Nesil,3350P,1920 x 1080,250 - 350 W,Oyun,4 GB ve altı,3.3,HDMI,2 kg ve altı,18 - 21 inç,3.00 GHz üstü,60 Hz,VA,TR,32 GB
TURBOX,6909.0,Intel Core i5,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,,Resmi Distribütör Garantili,DDR4,,6. Nesil,6400,,,,Paylaşımlı,,HDMI,2 - 4 kg,,2.50 GHz - 3.00 GHz,,,,16 GB
